,ObservationDate,country,Confirmed,Deaths,Recovered,Code,latitude,longitude,New Confirmed,New Recovered,New Death
4907,03/28/2020,afghanistan,110,4,2,AF,33.93911,67.709953,0,0,0
1941,03/09/2020,albania,2,0,0,AL,41.153332,20.168331,2,0,0
2053,03/10/2020,albania,10,0,0,AL,41.153332,20.168331,8,0,0
2170,03/11/2020,albania,12,1,0,AL,41.153332,20.168331,2,0,1
2288,03/12/2020,albania,23,1,0,AL,41.153332,20.168331,11,0,0
2414,03/13/2020,albania,33,1,0,AL,41.153332,20.168331,10,0,0
2543,03/14/2020,albania,38,1,0,AL,41.153332,20.168331,5,0,0
2692,03/15/2020,albania,42,1,0,AL,41.153332,20.168331,4,0,0
2846,03/16/2020,albania,51,1,0,AL,41.153332,20.168331,9,0,0
3006,03/17/2020,albania,55,1,0,AL,41.153332,20.168331,4,0,0
3169,03/18/2020,albania,59,2,0,AL,41.153332,20.168331,4,0,1
3338,03/19/2020,albania,64,2,0,AL,41.153332,20.168331,5,0,0
3512,03/20/2020,albania,70,2,0,AL,41.153332,20.168331,6,0,0
3690,03/21/2020,albania,76,2,2,AL,41.153332,20.168331,6,2,0
3863,03/22/2020,albania,89,2,2,AL,41.153332,20.168331,13,0,0
4032,03/23/2020,albania,104,4,2,AL,41.153332,20.168331,15,0,2
4203,03/24/2020,albania,123,5,10,AL,41.153332,20.168331,19,8,1
4377,03/25/2020,albania,146,5,17,AL,41.153332,20.168331,23,7,0
4553,03/26/2020,albania,174,6,17,AL,41.153332,20.168331,28,0,1
4731,03/27/2020,albania,186,8,31,AL,41.153332,20.168331,12,14,2
4908,03/28/2020,albania,197,10,31,AL,41.153332,20.168331,11,0,2
910,02/25/2020,algeria,1,0,0,DZ,28.033886,1.6596259999999998,1,0,0
956,02/26/2020,algeria,1,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1007,02/27/2020,algeria,1,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1065,02/28/2020,algeria,1,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1126,02/29/2020,algeria,1,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1200,03/01/2020,algeria,1,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1274,03/02/2020,algeria,3,0,0,DZ,28.033886,1.6596259999999998,2,0,0
1353,03/03/2020,algeria,5,0,0,DZ,28.033886,1.6596259999999998,2,0,0
1438,03/04/2020,algeria,12,0,0,DZ,28.033886,1.6596259999999998,7,0,0
1526,03/05/2020,algeria,12,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1623,03/06/2020,algeria,17,0,0,DZ,28.033886,1.6596259999999998,5,0,0
1722,03/07/2020,algeria,17,0,0,DZ,28.033886,1.6596259999999998,0,0,0
1830,03/08/2020,algeria,19,0,0,DZ,28.033886,1.6596259999999998,2,0,0
1940,03/09/2020,algeria,20,0,0,DZ,28.033886,1.6596259999999998,1,0,0
2052,03/10/2020,algeria,20,0,0,DZ,28.033886,1.6596259999999998,0,0,0
2169,03/11/2020,algeria,20,0,0,DZ,28.033886,1.6596259999999998,0,0,0
2287,03/12/2020,algeria,24,1,8,DZ,28.033886,1.6596259999999998,4,8,1
2413,03/13/2020,algeria,26,2,8,DZ,28.033886,1.6596259999999998,2,0,1
2544,03/14/2020,algeria,37,3,12,DZ,28.033886,1.6596259999999998,11,4,1
2693,03/15/2020,algeria,48,4,12,DZ,28.033886,1.6596259999999998,11,0,1
2847,03/16/2020,algeria,54,4,12,DZ,28.033886,1.6596259999999998,6,0,0
3007,03/17/2020,algeria,60,4,12,DZ,28.033886,1.6596259999999998,6,0,0
3170,03/18/2020,algeria,74,7,12,DZ,28.033886,1.6596259999999998,14,0,3
3339,03/19/2020,algeria,87,9,32,DZ,28.033886,1.6596259999999998,13,20,2
3513,03/20/2020,algeria,90,11,32,DZ,28.033886,1.6596259999999998,3,0,2
3709,03/21/2020,algeria,139,15,32,DZ,28.033886,1.6596259999999998,49,0,4
3864,03/22/2020,algeria,201,17,65,DZ,28.033886,1.6596259999999998,62,33,2
4033,03/23/2020,algeria,230,17,65,DZ,28.033886,1.6596259999999998,29,0,0
4204,03/24/2020,algeria,264,19,65,DZ,28.033886,1.6596259999999998,34,0,2
4378,03/25/2020,algeria,302,21,65,DZ,28.033886,1.6596259999999998,38,0,2
4554,03/26/2020,algeria,367,25,65,DZ,28.033886,1.6596259999999998,65,0,4
4732,03/27/2020,algeria,409,26,65,DZ,28.033886,1.6596259999999998,42,0,1
4909,03/28/2020,algeria,454,29,65,DZ,28.033886,1.6596259999999998,45,0,3
1273,03/02/2020,andorra,1,0,0,AD,42.546245,1.6015540000000001,1,0,0
1352,03/03/2020,andorra,1,0,0,AD,42.546245,1.6015540000000001,0,0,0
1437,03/04/2020,andorra,1,0,0,AD,42.546245,1.6015540000000001,0,0,0
1525,03/05/2020,andorra,1,0,0,AD,42.546245,1.6015540000000001,0,0,0
1622,03/06/2020,andorra,1,0,0,AD,42.546245,1.6015540000000001,0,0,0
1721,03/07/2020,andorra,1,0,0,AD,42.546245,1.6015540000000001,0,0,0
1829,03/08/2020,andorra,1,0,0,AD,42.546245,1.6015540000000001,0,0,0
1939,03/09/2020,andorra,1,0,0,AD,42.546245,1.6015540000000001,0,0,0
2051,03/10/2020,andorra,1,0,0,AD,42.546245,1.6015540000000001,0,0,0
2168,03/11/2020,andorra,1,0,0,AD,42.546245,1.6015540000000001,0,0,0
2286,03/12/2020,andorra,1,0,1,AD,42.546245,1.6015540000000001,0,1,0
2412,03/13/2020,andorra,1,0,1,AD,42.546245,1.6015540000000001,0,0,0
2545,03/14/2020,andorra,1,0,1,AD,42.546245,1.6015540000000001,0,0,0
2694,03/15/2020,andorra,1,0,1,AD,42.546245,1.6015540000000001,0,0,0
2848,03/16/2020,andorra,2,0,1,AD,42.546245,1.6015540000000001,1,0,0
3008,03/17/2020,andorra,39,0,1,AD,42.546245,1.6015540000000001,37,0,0
3171,03/18/2020,andorra,39,0,1,AD,42.546245,1.6015540000000001,0,0,0
3340,03/19/2020,andorra,53,0,1,AD,42.546245,1.6015540000000001,14,0,0
3514,03/20/2020,andorra,75,0,1,AD,42.546245,1.6015540000000001,22,0,0
3691,03/21/2020,andorra,88,0,1,AD,42.546245,1.6015540000000001,13,0,0
3865,03/22/2020,andorra,113,1,1,AD,42.546245,1.6015540000000001,25,0,1
4034,03/23/2020,andorra,133,1,1,AD,42.546245,1.6015540000000001,20,0,0
4205,03/24/2020,andorra,164,1,1,AD,42.546245,1.6015540000000001,31,0,0
4379,03/25/2020,andorra,188,1,1,AD,42.546245,1.6015540000000001,24,0,0
4555,03/26/2020,andorra,224,3,1,AD,42.546245,1.6015540000000001,36,0,2
4733,03/27/2020,andorra,267,3,1,AD,42.546245,1.6015540000000001,43,0,0
4910,03/28/2020,andorra,308,3,1,AD,42.546245,1.6015540000000001,41,0,0
3515,03/20/2020,angola,1,0,0,AO,-11.202691999999999,17.873887,1,0,0
3692,03/21/2020,angola,2,0,0,AO,-11.202691999999999,17.873887,1,0,0
3866,03/22/2020,angola,2,0,0,AO,-11.202691999999999,17.873887,0,0,0
4035,03/23/2020,angola,3,0,0,AO,-11.202691999999999,17.873887,1,0,0
4206,03/24/2020,angola,3,0,0,AO,-11.202691999999999,17.873887,0,0,0
4380,03/25/2020,angola,3,0,0,AO,-11.202691999999999,17.873887,0,0,0
4556,03/26/2020,angola,4,0,0,AO,-11.202691999999999,17.873887,1,0,0
4734,03/27/2020,angola,4,0,0,AO,-11.202691999999999,17.873887,0,0,0
4911,03/28/2020,angola,5,0,0,AO,-11.202691999999999,17.873887,1,0,0
2411,03/13/2020,antigua and barbuda,1,0,0,AG,17.060816,-61.796428000000006,1,0,0
2546,03/14/2020,antigua and barbuda,1,0,0,AG,17.060816,-61.796428000000006,0,0,0
2695,03/15/2020,antigua and barbuda,1,0,0,AG,17.060816,-61.796428000000006,0,0,0
2849,03/16/2020,antigua and barbuda,1,0,0,AG,17.060816,-61.796428000000006,0,0,0
3009,03/17/2020,antigua and barbuda,1,0,0,AG,17.060816,-61.796428000000006,0,0,0
3172,03/18/2020,antigua and barbuda,1,0,0,AG,17.060816,-61.796428000000006,0,0,0
3341,03/19/2020,antigua and barbuda,1,0,0,AG,17.060816,-61.796428000000006,0,0,0
3516,03/20/2020,antigua and barbuda,1,0,0,AG,17.060816,-61.796428000000006,0,0,0
3693,03/21/2020,antigua and barbuda,1,0,0,AG,17.060816,-61.796428000000006,0,0,0
3867,03/22/2020,antigua and barbuda,1,0,0,AG,17.060816,-61.796428000000006,0,0,0
4036,03/23/2020,antigua and barbuda,3,0,0,AG,17.060816,-61.796428000000006,2,0,0
4207,03/24/2020,antigua and barbuda,3,0,0,AG,17.060816,-61.796428000000006,0,0,0
4381,03/25/2020,antigua and barbuda,3,0,0,AG,17.060816,-61.796428000000006,0,0,0
4557,03/26/2020,antigua and barbuda,7,0,0,AG,17.060816,-61.796428000000006,4,0,0
4735,03/27/2020,antigua and barbuda,7,0,0,AG,17.060816,-61.796428000000006,0,0,0
4912,03/28/2020,antigua and barbuda,7,0,0,AG,17.060816,-61.796428000000006,0,0,0
1351,03/03/2020,argentina,1,0,0,AR,-38.416097,-63.616671999999994,1,0,0
1436,03/04/2020,argentina,1,0,0,AR,-38.416097,-63.616671999999994,0,0,0
1524,03/05/2020,argentina,1,0,0,AR,-38.416097,-63.616671999999994,0,0,0
1621,03/06/2020,argentina,2,0,0,AR,-38.416097,-63.616671999999994,1,0,0
1720,03/07/2020,argentina,8,0,0,AR,-38.416097,-63.616671999999994,6,0,0
1828,03/08/2020,argentina,12,1,0,AR,-38.416097,-63.616671999999994,4,0,1
1938,03/09/2020,argentina,12,1,0,AR,-38.416097,-63.616671999999994,0,0,0
2050,03/10/2020,argentina,17,1,0,AR,-38.416097,-63.616671999999994,5,0,0
2167,03/11/2020,argentina,19,1,0,AR,-38.416097,-63.616671999999994,2,0,0
2285,03/12/2020,argentina,19,1,0,AR,-38.416097,-63.616671999999994,0,0,0
2410,03/13/2020,argentina,31,2,0,AR,-38.416097,-63.616671999999994,12,0,1
2547,03/14/2020,argentina,34,2,1,AR,-38.416097,-63.616671999999994,3,1,0
2696,03/15/2020,argentina,45,2,1,AR,-38.416097,-63.616671999999994,11,0,0
2850,03/16/2020,argentina,56,2,1,AR,-38.416097,-63.616671999999994,11,0,0
3010,03/17/2020,argentina,68,2,3,AR,-38.416097,-63.616671999999994,12,2,0
3173,03/18/2020,argentina,79,2,3,AR,-38.416097,-63.616671999999994,11,0,0
3342,03/19/2020,argentina,97,3,3,AR,-38.416097,-63.616671999999994,18,0,1
3486,03/20/2020,argentina,128,3,3,AR,-38.416097,-63.616671999999994,31,0,0
3694,03/21/2020,argentina,158,4,3,AR,-38.416097,-63.616671999999994,30,0,1
3868,03/22/2020,argentina,266,4,27,AR,-38.416097,-63.616671999999994,108,24,0
4037,03/23/2020,argentina,266,4,27,AR,-38.416097,-63.616671999999994,0,0,0
4208,03/24/2020,argentina,387,6,52,AR,-38.416097,-63.616671999999994,121,25,2
4382,03/25/2020,argentina,387,8,52,AR,-38.416097,-63.616671999999994,0,0,2
4558,03/26/2020,argentina,502,9,63,AR,-38.416097,-63.616671999999994,115,11,1
4736,03/27/2020,argentina,589,13,72,AR,-38.416097,-63.616671999999994,87,9,4
4913,03/28/2020,argentina,690,18,72,AR,-38.416097,-63.616671999999994,101,0,5
1199,03/01/2020,armenia,1,0,0,AM,40.069099,45.038189,1,0,0
1272,03/02/2020,armenia,1,0,0,AM,40.069099,45.038189,0,0,0
1350,03/03/2020,armenia,1,0,0,AM,40.069099,45.038189,0,0,0
1435,03/04/2020,armenia,1,0,0,AM,40.069099,45.038189,0,0,0
1523,03/05/2020,armenia,1,0,0,AM,40.069099,45.038189,0,0,0
1620,03/06/2020,armenia,1,0,0,AM,40.069099,45.038189,0,0,0
1719,03/07/2020,armenia,1,0,0,AM,40.069099,45.038189,0,0,0
1827,03/08/2020,armenia,1,0,0,AM,40.069099,45.038189,0,0,0
1937,03/09/2020,armenia,1,0,0,AM,40.069099,45.038189,0,0,0
2049,03/10/2020,armenia,1,0,0,AM,40.069099,45.038189,0,0,0
2166,03/11/2020,armenia,1,0,0,AM,40.069099,45.038189,0,0,0
2284,03/12/2020,armenia,4,0,0,AM,40.069099,45.038189,3,0,0
2409,03/13/2020,armenia,8,0,0,AM,40.069099,45.038189,4,0,0
2548,03/14/2020,armenia,18,0,0,AM,40.069099,45.038189,10,0,0
2697,03/15/2020,armenia,26,0,0,AM,40.069099,45.038189,8,0,0
2851,03/16/2020,armenia,52,0,0,AM,40.069099,45.038189,26,0,0
3011,03/17/2020,armenia,78,0,1,AM,40.069099,45.038189,26,1,0
3174,03/18/2020,armenia,84,0,1,AM,40.069099,45.038189,6,0,0
3343,03/19/2020,armenia,115,0,1,AM,40.069099,45.038189,31,0,0
3517,03/20/2020,armenia,136,0,1,AM,40.069099,45.038189,21,0,0
3695,03/21/2020,armenia,160,0,1,AM,40.069099,45.038189,24,0,0
3870,03/22/2020,armenia,194,0,2,AM,40.069099,45.038189,34,1,0
4038,03/23/2020,armenia,235,0,2,AM,40.069099,45.038189,41,0,0
4210,03/24/2020,armenia,249,0,14,AM,40.069099,45.038189,14,12,0
4384,03/25/2020,armenia,265,0,16,AM,40.069099,45.038189,16,2,0
4559,03/26/2020,armenia,290,1,18,AM,40.069099,45.038189,25,2,1
4737,03/27/2020,armenia,329,1,28,AM,40.069099,45.038189,39,10,0
4914,03/28/2020,armenia,407,1,30,AM,40.069099,45.038189,78,2,0
2408,03/13/2020,aruba,2,0,0,AW,12.52111,-69.968338,2,0,0
2549,03/14/2020,aruba,2,0,0,AW,12.52111,-69.968338,0,0,0
2698,03/15/2020,aruba,2,0,0,AW,12.52111,-69.968338,0,0,0
2852,03/16/2020,aruba,2,0,0,AW,12.52111,-69.968338,0,0,0
3012,03/17/2020,aruba,3,0,0,AW,12.52111,-69.968338,1,0,0
3175,03/18/2020,aruba,4,0,0,AW,12.52111,-69.968338,1,0,0
3345,03/19/2020,aruba,4,0,0,AW,12.52111,-69.968338,0,0,0
22,01/23/2020,australia,0,0,0,AU,-25.274398,133.775136,0,0,0
42,01/25/2020,australia,4,0,0,AU,-25.274398,133.775136,4,0,0
62,01/26/2020,australia,4,0,0,AU,-25.274398,133.775136,0,0,0
77,01/27/2020,australia,5,0,0,AU,-25.274398,133.775136,1,0,0
99,01/28/2020,australia,5,0,0,AU,-25.274398,133.775136,0,0,0
111,01/29/2020,australia,5,0,0,AU,-25.274398,133.775136,0,0,0
140,01/30/2020,australia,9,0,2,AU,-25.274398,133.775136,4,2,0
161,01/31/2020,australia,9,0,2,AU,-25.274398,133.775136,0,0,0
183,02/01/2020,australia,12,0,2,AU,-25.274398,133.775136,3,0,0
211,02/02/2020,australia,12,0,2,AU,-25.274398,133.775136,0,0,0
237,02/03/2020,australia,12,0,2,AU,-25.274398,133.775136,0,0,0
264,02/04/2020,australia,13,0,2,AU,-25.274398,133.775136,1,0,0
294,02/05/2020,australia,13,0,2,AU,-25.274398,133.775136,0,0,0
326,02/06/2020,australia,14,0,2,AU,-25.274398,133.775136,1,0,0
349,02/07/2020,australia,15,0,2,AU,-25.274398,133.775136,1,0,0
379,02/08/2020,australia,15,0,2,AU,-25.274398,133.775136,0,0,0
413,02/09/2020,australia,15,0,2,AU,-25.274398,133.775136,0,0,0
436,02/10/2020,australia,15,0,2,AU,-25.274398,133.775136,0,0,0
466,02/11/2020,australia,15,0,2,AU,-25.274398,133.775136,0,0,0
494,02/12/2020,australia,15,0,2,AU,-25.274398,133.775136,0,0,0
523,02/13/2020,australia,15,0,8,AU,-25.274398,133.775136,0,6,0
551,02/14/2020,australia,15,0,8,AU,-25.274398,133.775136,0,0,0
581,02/15/2020,australia,15,0,8,AU,-25.274398,133.775136,0,0,0
613,02/16/2020,australia,15,0,8,AU,-25.274398,133.775136,0,0,0
643,02/17/2020,australia,15,0,10,AU,-25.274398,133.775136,0,2,0
679,02/18/2020,australia,15,0,10,AU,-25.274398,133.775136,0,0,0
709,02/19/2020,australia,15,0,10,AU,-25.274398,133.775136,0,0,0
735,02/20/2020,australia,15,0,10,AU,-25.274398,133.775136,0,0,0
766,02/21/2020,australia,19,0,11,AU,-25.274398,133.775136,4,1,0
799,02/22/2020,australia,22,0,11,AU,-25.274398,133.775136,3,0,0
833,02/23/2020,australia,22,0,11,AU,-25.274398,133.775136,0,0,0
870,02/24/2020,australia,22,0,11,AU,-25.274398,133.775136,0,0,0
911,02/25/2020,australia,22,0,11,AU,-25.274398,133.775136,0,0,0
957,02/26/2020,australia,22,0,11,AU,-25.274398,133.775136,0,0,0
1008,02/27/2020,australia,23,0,11,AU,-25.274398,133.775136,1,0,0
1066,02/28/2020,australia,23,0,11,AU,-25.274398,133.775136,0,0,0
1127,02/29/2020,australia,25,0,11,AU,-25.274398,133.775136,2,0,0
1198,03/01/2020,australia,27,1,11,AU,-25.274398,133.775136,2,0,1
1271,03/02/2020,australia,30,1,11,AU,-25.274398,133.775136,3,0,0
1349,03/03/2020,australia,39,1,11,AU,-25.274398,133.775136,9,0,0
1434,03/04/2020,australia,52,2,11,AU,-25.274398,133.775136,13,0,1
1522,03/05/2020,australia,55,2,21,AU,-25.274398,133.775136,3,10,0
1619,03/06/2020,australia,60,2,21,AU,-25.274398,133.775136,5,0,0
1718,03/07/2020,australia,63,2,21,AU,-25.274398,133.775136,3,0,0
1826,03/08/2020,australia,76,4,21,AU,-25.274398,133.775136,13,0,2
1936,03/09/2020,australia,91,4,21,AU,-25.274398,133.775136,15,0,0
2048,03/10/2020,australia,107,4,21,AU,-25.274398,133.775136,16,0,0
2165,03/11/2020,australia,128,4,21,AU,-25.274398,133.775136,21,0,0
2283,03/12/2020,australia,128,4,21,AU,-25.274398,133.775136,0,0,0
2407,03/13/2020,australia,200,4,23,AU,-25.274398,133.775136,72,2,0
2550,03/14/2020,australia,250,4,23,AU,-25.274398,133.775136,50,0,0
2699,03/15/2020,australia,297,4,23,AU,-25.274398,133.775136,47,0,0
2853,03/16/2020,australia,377,4,23,AU,-25.274398,133.775136,80,0,0
3013,03/17/2020,australia,452,5,23,AU,-25.274398,133.775136,75,0,1
3176,03/18/2020,australia,568,6,23,AU,-25.274398,133.775136,116,0,1
3354,03/19/2020,australia,681,6,26,AU,-25.274398,133.775136,113,3,0
3519,03/20/2020,australia,791,7,26,AU,-25.274398,133.775136,110,0,1
3696,03/21/2020,australia,1071,7,26,AU,-25.274398,133.775136,280,0,0
3879,03/22/2020,australia,1490,7,92,AU,-25.274398,133.775136,419,66,0
4040,03/23/2020,australia,1682,7,119,AU,-25.274398,133.775136,192,27,0
4219,03/24/2020,australia,2044,8,119,AU,-25.274398,133.775136,362,0,1
4393,03/25/2020,australia,2364,8,119,AU,-25.274398,133.775136,320,0,0
4560,03/26/2020,australia,2810,13,172,AU,-25.274398,133.775136,446,53,5
4738,03/27/2020,australia,3143,13,194,AU,-25.274398,133.775136,333,22,0
4915,03/28/2020,australia,3640,14,244,AU,-25.274398,133.775136,497,50,1
912,02/25/2020,austria,2,0,0,AT,47.516231,14.550072,2,0,0
958,02/26/2020,austria,2,0,0,AT,47.516231,14.550072,0,0,0
1009,02/27/2020,austria,3,0,0,AT,47.516231,14.550072,1,0,0
1067,02/28/2020,austria,3,0,0,AT,47.516231,14.550072,0,0,0
1128,02/29/2020,austria,9,0,0,AT,47.516231,14.550072,6,0,0
1197,03/01/2020,austria,14,0,0,AT,47.516231,14.550072,5,0,0
1270,03/02/2020,austria,18,0,0,AT,47.516231,14.550072,4,0,0
1348,03/03/2020,austria,21,0,0,AT,47.516231,14.550072,3,0,0
1433,03/04/2020,austria,29,0,0,AT,47.516231,14.550072,8,0,0
1521,03/05/2020,austria,41,0,0,AT,47.516231,14.550072,12,0,0
1618,03/06/2020,austria,55,0,0,AT,47.516231,14.550072,14,0,0
1717,03/07/2020,austria,79,0,0,AT,47.516231,14.550072,24,0,0
1825,03/08/2020,austria,104,0,0,AT,47.516231,14.550072,25,0,0
1935,03/09/2020,austria,131,0,2,AT,47.516231,14.550072,27,2,0
2047,03/10/2020,austria,182,0,4,AT,47.516231,14.550072,51,2,0
2164,03/11/2020,austria,246,0,4,AT,47.516231,14.550072,64,0,0
2282,03/12/2020,austria,302,1,4,AT,47.516231,14.550072,56,0,1
2406,03/13/2020,austria,504,1,6,AT,47.516231,14.550072,202,2,0
2551,03/14/2020,austria,655,1,6,AT,47.516231,14.550072,151,0,0
2700,03/15/2020,austria,860,1,6,AT,47.516231,14.550072,205,0,0
2854,03/16/2020,austria,1018,3,6,AT,47.516231,14.550072,158,0,2
3014,03/17/2020,austria,1332,3,6,AT,47.516231,14.550072,314,0,0
3177,03/18/2020,austria,1646,4,9,AT,47.516231,14.550072,314,3,1
3346,03/19/2020,austria,2013,6,9,AT,47.516231,14.550072,367,0,2
3528,03/20/2020,austria,2388,6,9,AT,47.516231,14.550072,375,0,0
3697,03/21/2020,austria,2814,8,9,AT,47.516231,14.550072,426,0,2
3871,03/22/2020,austria,3580,16,9,AT,47.516231,14.550072,766,0,8
4049,03/23/2020,austria,4474,21,9,AT,47.516231,14.550072,894,0,5
4211,03/24/2020,austria,5283,28,9,AT,47.516231,14.550072,809,0,7
4385,03/25/2020,austria,5588,30,9,AT,47.516231,14.550072,305,0,2
4561,03/26/2020,austria,6909,49,112,AT,47.516231,14.550072,1321,103,19
4739,03/27/2020,austria,7657,58,225,AT,47.516231,14.550072,748,113,9
4916,03/28/2020,austria,8271,68,225,AT,47.516231,14.550072,614,0,10
1203,03/01/2020,azerbaijan,3,0,0,AZ,40.143105,47.576927000000005,3,0,0
1269,03/02/2020,azerbaijan,3,0,0,AZ,40.143105,47.576927000000005,0,0,0
1347,03/03/2020,azerbaijan,3,0,0,AZ,40.143105,47.576927000000005,0,0,0
1432,03/04/2020,azerbaijan,3,0,0,AZ,40.143105,47.576927000000005,0,0,0
1520,03/05/2020,azerbaijan,6,0,0,AZ,40.143105,47.576927000000005,3,0,0
1617,03/06/2020,azerbaijan,6,0,0,AZ,40.143105,47.576927000000005,0,0,0
1716,03/07/2020,azerbaijan,9,0,0,AZ,40.143105,47.576927000000005,3,0,0
1824,03/08/2020,azerbaijan,9,0,0,AZ,40.143105,47.576927000000005,0,0,0
1934,03/09/2020,azerbaijan,9,0,0,AZ,40.143105,47.576927000000005,0,0,0
2046,03/10/2020,azerbaijan,11,0,0,AZ,40.143105,47.576927000000005,2,0,0
2163,03/11/2020,azerbaijan,11,0,3,AZ,40.143105,47.576927000000005,0,3,0
2281,03/12/2020,azerbaijan,11,0,3,AZ,40.143105,47.576927000000005,0,0,0
2405,03/13/2020,azerbaijan,15,1,3,AZ,40.143105,47.576927000000005,4,0,1
2552,03/14/2020,azerbaijan,15,1,3,AZ,40.143105,47.576927000000005,0,0,0
2701,03/15/2020,azerbaijan,23,1,6,AZ,40.143105,47.576927000000005,8,3,0
2855,03/16/2020,azerbaijan,23,1,6,AZ,40.143105,47.576927000000005,0,0,0
3015,03/17/2020,azerbaijan,28,1,6,AZ,40.143105,47.576927000000005,5,0,0
3178,03/18/2020,azerbaijan,28,1,6,AZ,40.143105,47.576927000000005,0,0,0
3347,03/19/2020,azerbaijan,44,1,6,AZ,40.143105,47.576927000000005,16,0,0
3520,03/20/2020,azerbaijan,44,1,6,AZ,40.143105,47.576927000000005,0,0,0
3698,03/21/2020,azerbaijan,53,1,11,AZ,40.143105,47.576927000000005,9,5,0
3872,03/22/2020,azerbaijan,65,1,11,AZ,40.143105,47.576927000000005,12,0,0
4041,03/23/2020,azerbaijan,72,1,11,AZ,40.143105,47.576927000000005,7,0,0
4212,03/24/2020,azerbaijan,87,1,11,AZ,40.143105,47.576927000000005,15,0,0
4386,03/25/2020,azerbaijan,93,2,11,AZ,40.143105,47.576927000000005,6,0,1
4562,03/26/2020,azerbaijan,122,3,15,AZ,40.143105,47.576927000000005,29,4,1
4740,03/27/2020,azerbaijan,165,3,15,AZ,40.143105,47.576927000000005,43,0,0
4917,03/28/2020,azerbaijan,182,4,15,AZ,40.143105,47.576927000000005,17,0,1
3873,03/22/2020,bahamas,4,0,0,BS,25.03428,-77.39628,4,0,0
4042,03/23/2020,bahamas,4,0,0,BS,25.03428,-77.39628,0,0,0
4213,03/24/2020,bahamas,5,0,1,BS,25.03428,-77.39628,1,1,0
4387,03/25/2020,bahamas,5,0,1,BS,25.03428,-77.39628,0,0,0
4563,03/26/2020,bahamas,9,0,1,BS,25.03428,-77.39628,4,0,0
4741,03/27/2020,bahamas,10,0,1,BS,25.03428,-77.39628,1,0,0
4918,03/28/2020,bahamas,10,0,1,BS,25.03428,-77.39628,0,0,0
3348,03/19/2020,"bahamas, the",3,0,0,,,,3,0,0
